Frame,AnkleX,AnkleY,HeelX,HeelY,MetatX,MetatY,ToeX,ToeY,KneeX,KneeY,HipX,HipY,angle_old,angle,Cuff_x,Cuff_y,thigh_length,spring length,GroundRX,GroundRY,AnkleRX,AnkleRY,GroundCoFPX,AnkleM,KneeRX,KneeRY,KneeM,HipRX,HipRY,HipM,FootAA,FootAX,FootAY,FootCoMX,FootCoMY,LegAX,LegAY,LegAA,LegCoMX,LegCoMY,ThighAA,ThighAX,ThighAY,ThighCoMX,ThighCoMY,average_spring_length,old_frame
41,132.12,12.15,125.89,7.7,140.65,4.01,147.39,4.14,148.41,50.71,156.3,80.61,75.2177716,104.7822284,160.6179579,96.97336396,30.92348784,19.01319592,68.1,595.8,-67.6,-586.9,1.444,-82.7,-53.3,-559.3,-12.4,-24.8,-506.3,18.3,-45.01,0.57,1.39,1.361,0.076,5.39,0.53,-14.71,1.411,0.337,14.82,5.02,-0.46,1.527,0.676,24.26984813,58
42,131.94,12.03,125.96,7.83,140.34,3.75,146.95,3.75,149.75,50.33,157.9,80.1,74.68952622,105.3104738,162.3533088,96.36687168,30.86544022,18.86134741,79.6,608.6,-77.9,-599.7,1.447,-87,-59.1,-573,-10,-22.7,-521.5,23.6,-49.94,2.14,1.33,1.362,0.079,7.07,0.23,-14.08,1.42,0.338,15.41,6.42,-0.73,1.544,0.674,24.5273214,59
43,132.26,12.66,126.03,8.46,140.41,3.75,147.02,3.88,151.22,50.33,159.88,80.23,73.84728641,106.1527136,164.6452213,96.68266945,31.12885478,18.86720618,90.8,612.1,-87.4,-602.8,1.451,-89.7,-63.1,-576.4,-6.4,-17.8,-527.1,29.5,-52.91,4.22,1.88,1.363,0.082,9.13,0.09,-13.69,1.431,0.34,16.49,7.98,-1.12,1.562,0.673,24.63276965,60
44,132.69,12.92,126.58,9.61,140.2,4.26,146.69,4.26,153.3,50.33,162.08,80.23,73.63536185,106.3646382,166.9155093,96.69716733,31.16245176,18.84556948,101.5,602.3,-96.4,-592.2,1.455,-89.8,-66.5,-566.1,-2.2,-13.2,-519,34.4,-52.39,6.4,2.88,1.365,0.085,11.25,0,-13.68,1.443,0.342,18.57,9.4,-1.49,1.583,0.671,24.56976872,61
45,133.39,13.93,126.9,10.5,140.01,3.88,146.76,4.01,155.41,50.07,164.19,79.6,73.44148321,106.5585168,168.9800777,95.71059166,30.80761756,18.5573121,110.4,576.1,-103.8,-565,1.459,-86.7,-68.9,-538.7,2.3,-10.1,-492.1,37.3,-49.61,8.37,4.16,1.368,0.089,13.11,0.06,-13.46,1.458,0.343,21.54,10.36,-1.58,1.605,0.669,24.6579853,62
46,133.97,14.83,127.48,12.28,140.21,3.88,146.83,3.75,157.01,50.07,166.42,79.85,72.46430349,107.5356965,171.611801,96.28058813,31.23133843,18.64265527,115.6,530.3,-107.7,-518.2,1.463,-79.7,-69.7,-491.1,6.5,-10.7,-442.7,37.2,-47.15,9.9,5.46,1.373,0.093,14.27,0.37,-11.96,1.476,0.345,24.59,10.4,-1.28,1.629,0.666,24.68474657,63
47,135.48,14.95,128.73,13.04,140.95,4.14,147.06,3.5,160.29,49.06,169.07,78.96,73.63536185,106.3646382,173.9055093,95.42716733,31.16245176,18.84556948,114.5,463,-105.7,-450.2,1.467,-68.6,-67.5,-421.9,10.1,-16,-370.1,33.6,-43.01,11.08,6.34,1.38,0.099,14.31,0.82,-8.16,1.497,0.347,27.13,9.09,-0.68,1.655,0.663,24.74856773,64
48,136.75,16.48,129.62,14.83,141.08,4.65,147.18,3.75,163.22,49.06,171.74,79.47,74.34866885,105.6513312,176.4830435,96.39910242,31.5809832,19.29470789,105.2,377.3,-95.5,-364.4,1.47,-54.3,-60.1,-335.2,12.5,-23.2,-279.2,27.5,-31.69,12.24,6.44,1.39,0.106,13.29,1.13,-1.88,1.52,0.349,29.35,6.5,0.06,1.683,0.66,24.8323334,65
49,139.14,17.37,132.15,16.1,141.94,5.28,148.31,2.99,166.89,48.55,175.16,78.83,74.72406917,105.2759308,179.7414504,95.60464544,31.38903152,19.23792625,88.2,282.1,-77.2,-269.9,1.474,-38.8,-46.1,-240.4,13.3,-27.5,-179.5,20.7,-10.02,13.82,5.61,1.402,0.115,11.68,1.26,6.33,1.547,0.351,31.19,3.27,0.94,1.713,0.658,24.81027151,66
50,140.9,18.64,134.02,18.52,142.42,5.79,148.4,2.86,170.04,48.16,177.8,78.58,75.68931964,104.3106804,182.099485,95.43442459,31.39417143,19.44663515,65.7,190.1,-53,-179.1,1.478,-24.2,-26.4,-149.3,12.5,-25,-82.3,15.2,21.54,16,3.93,1.417,0.125,9.99,1.39,15.67,1.575,0.353,31.71,0.24,2,1.743,0.655,24.87777589,67
51,143.69,19.79,136.95,21.57,143.69,7.57,149.04,3.63,174.11,48.04,180.6,79.09,78.19413524,101.8058648,184.2256525,96.43614968,31.72101196,20.21177859,41.4,110.8,-26.7,-101.8,1.482,-12.3,-4.1,-71.2,10.6,-16,2.9,11.9,60.42,18.51,1.5,1.434,0.135,8.47,1.66,25.25,1.606,0.356,30.36,-2.1,3.27,1.774,0.652,24.8079757,68
52,145.54,20.42,139.43,23.35,144.14,7.95,148.59,3.5,176.97,47.02,182.44,77.94,79.96770874,100.0322913,185.4711555,95.07406377,31.40011624,20.34432822,18.4,44.4,-2.1,-37.9,1.486,-3.6,16.9,-6.8,6.8,-3.5,74.9,9.3,100.83,20.6,-1.62,1.456,0.146,7.11,1.88,34.2,1.639,0.359,27.73,-3.6,4.59,1.804,0.651,24.44699698,69
53,149.53,21.82,143.81,25.13,146.86,9.74,150.17,4.26,181.73,47.53,185.67,78.83,82.82542374,97.17457626,187.8614981,96.23961696,31.5470062,21.03652727,0,0,17.1,3.5,0,1.4,32.9,34.3,3.6,8.9,122,9,133.15,21.55,-5.36,1.482,0.157,5.93,1.75,42.2,1.672,0.362,24.46,-4.23,5.65,1.833,0.65,24.42530031,70
